height,sanctuary_reward,miner_subsidy,time
171574,4606,2591,1579830076
171573,,2585,1579829393
171572,,2587,1579828942
171571,,2597,1579828237
171570,4597,2586,1579827971
171569,4595,2584,1579827703
171568,4568,2569,1579827150
171567,4597,2585,1579826833
171566,4587,2580,1579826034
171565,4567,2569,1579825851
171564,4552,2560,1579825422
171563,4553,2561,1579825004
171562,4554,2561,1579824301
171561,4531,2549,1579823881
171560,4565,2568,1579823626
171559,,2574,1579823118
171558,4576,2574,1579822749
171557,4553,2561,1579822494
171556,4547,2558,1579822231
171555,4528,2547,1579821587
171554,4512,2538,1579821097
171553,4549,2559,1579820637
171552,,2579,1579820263
171551,,2596,1579819897
171550,,2601,1579819783
171549,,2607,1579819739
171548,,2609,1579819445
171547,,2605,1579819121
171546,4616,2596,1579818849
171545,4617,2597,1579818433
171544,4630,2604,1579817818
171543,4628,2603,1579817343
171542,4622,2599,1579817008
171541,4606,2591,1579816763
171540,4605,2590,1579816301
171539,4587,2580,1579815570
171538,4597,2586,1579815177
171537,4574,2573,1579814695
171536,4567,2569,1579814212
171535,4508,2535,1579813661
171534,4549,2559,1579813369
171533,,2576,1579812479
171532,4595,2585,1579812297
171531,,2577,1579812088
171530,,2569,1579811757
171529,4559,2564,1579811408
171528,4588,2581,1579810932
171527,4597,2586,1579810307
171526,4620,2599,1579810184
171525,4620,2599,1579809989
171524,4605,2590,1579809580
171523,,2569,1579809277
171522,4529,2548,1579809002
171521,4596,2585,1579807994
171520,4591,2582,1579807456
171519,4620,2598,1579807328
171518,4611,2593,1579806996
171517,4599,2587,1579806868
171516,4535,2551,1579806260
171515,4573,2572,1579806006
171514,4588,2581,1579805164
171513,,2576,1579804604
171512,,2541,1579804336
171511,4503,2533,1579804274
171510,4546,2557,1579803332
171509,,2561,1579802688
171508,4550,2559,1579802502
171507,,2573,1579802272
171506,,2577,1579801860
171505,,2577,1579801480
171504,,2563,1579801234
171503,4604,2589,1579800899
171502,,2598,1579800387
171501,,2603,1579800204
171500,,2602,1579799975
171499,4631,2605,1579799848
171498,4624,2601,1579799352
171497,4616,2596,1579798951
171496,4598,2586,1579798614
171495,4609,2592,1579798068
171494,4620,2598,1579797395
171493,4609,2592,1579797169
171492,4596,2585,1579796734
171491,4532,2549,1579796372
171490,4493,2527,1579795905
171489,4503,2533,1579794851
171488,4494,2528,1579794354
171487,4482,2521,1579793516
171486,4350,2446,1579793353
171485,4426,2490,1579793072
171484,4480,2520,1579792033
171483,4506,2534,1579791901
171482,4560,2565,1579791617
171481,,2579,1579791381
171480,4591,2582,1579791235
171479,4571,2571,1579790916
171478,,2567,1579790671
171477,,2570,1579790254
171476,,2589,1579789647
171475,,2584,1579789321
171474,4600,2587,1579789187
171473,4612,2594,1579788733
171472,4631,2605,1579788502
171471,4623,2600,1579788101
171470,4610,2593,1579787841
171469,4581,2577,1579787595
171468,4606,2591,1579787044
171467,4610,2593,1579786192
171466,4610,2593,1579786022
171465,,2584,1579785691
171464,,2582,1579785300
171463,4579,2576,1579784811
171462,,2580,1579784311
171461,4576,2574,1579783761
171460,4565,2568,1579783495
171459,4584,2579,1579782955
171458,,2596,1579782590
171457,,2602,1579782323
171456,,2595,1579782043
171455,4579,2575,1579781857
171454,,2572,1579781497
171453,,2592,1579780751
171452,,2600,1579780116
171451,,2600,1579780014
171450,4602,2588,1579779887
171449,4583,2578,1579779389
171448,4530,2548,1579778921
171447,4546,2557,1579778283
171446,4552,2560,1579777324
171445,4582,2577,1579777134
171444,4590,2582,1579776702
171443,4596,2585,1579776428
171442,4580,2576,1579776232
171441,,2576,1579775842
171440,4542,2555,1579775311
171439,4594,2584,1579774947
171438,,2592,1579774397
171437,,2592,1579774192
171436,,2586,1579773857
171435,,2565,1579773723
171434,,2549,1579773091
171433,4452,2504,1579772332
171432,,2555,1579771827
171431,,2549,1579771051
171430,,2548,1579770782
